Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Senior Data Scientist,$99K - $158K (Glassdoor est.),"Selux, a 6-year old company in Boston, is building a diagnostic platform to revolutionize Infectious Disease patient care and combat the current antibiotic resistance epidemic. Selux’s first product, a rapid antibiotic susceptibility test (AST) platform, uniquely breaks the current trade-offs between speed, cost, accuracy, and antibiotic menu breadth that plague the current generations of devices.
Selux recently won an award worth up to $45M to build its second-generation direct-from-sterile sample identification (ID) and AST platform. By eliminating most standard microbiological culturing, this platform will enable Infectious Disease clinicians to deliver same-day personalized antibiotic therapies to septic patients and those with urinary tract infections.
Job Summary
SeLux is looking for a self-motivated, independent and experienced Algo and Data Engineer with specific expertise in developing algorithms for automated decision making and supporting infrastructure. The successful candidate will lead the development of the algorithms and software infrastructure that will power Selux’s next-generation phenotyping platforms. He/She must have a strong track record of creative and innovative problem solving in cross-functional environments as well as a desire to grow by working on a fast-paced, highly-collaborative, multidisciplinary team.
Duties and Responsibilities
o Provide technical expertise in data analysis and biostatistics in development and evaluation of new in-vitro diagnostics devices
o Design, develop, and implement modern solutions to analyze heterogenous datasets and to build predictive models
o Develop scalable computational solutions and build tools to enable data analysis and to inform systems engineering and development teams
o Drive phenomenological modeling and sophisticated systems analysis
o Work with systems, software QA and development teams to generate design and test documentation
Qualifications
o MS or PhD in highly quantitative field (Biostatistics, Mathematics, Computer Science)
o 5 or more years of professional experience
o Strong foundation in statistics, regression analysis, machine learning, algorithms and data structures
o Expertise in the design of experiments
o Experience working in Python using NumPy, Pandas, SciPy, and Scikit-Learn or similar packages
o Experience sourcing real datasets using SQL
o Experience with large-scale data visualization in Python
o Experience with structured prediction models and probabilistic graphical models a plus
o Experience with software development lifecycle (iterative, test driven development, continuous integration and delivery, configuration management)
o A track record of creative, independent thinking leading to novel products
o Excellent written and oral communication skills and a proven ability to work well on a team
o Passion about a start-up that aims to change industry and how healthcare is delivered!
Job Type: Full-time
Pay: $0.00 per hour
Schedule:
8 hour shift
Education:
Master's (Preferred)
Experience:
Machine Learning: 1 year (Preferred)
Python: 1 year (Preferred)
Work Location:
One location
Company's website:
www.seluxdx.com
Work Remotely:
No",4.7,"Selux Diagnostics
4.7","Charlestown, MA",-1,1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
Data Scientist,$99K - $158K (Glassdoor est.),"Aptive is seeking a Data Scientist to support of a variety of innovation projects. The Data Scientist will support individual projects in their data and analytics needs, use existing data to develop business cases, and support portfolio-wide analyses of effectiveness and impact. While the Data Science profession is vast, this position focuses predominantly on Natural Language Processing, Machine Learning, and Computer Vision.
A strong candidate must demonstrate the ability to apply machine learning to solve real-world business problems using modern programming languages (Python, R, SQL, PL/SQL). This will support the team as they frequently participate in Machine Learning Challenges. The ideal candidate would have a hybrid background blending Software Engineering and Data Science disciplines. Finally, the person would also help the program office assess effectiveness of their projects, which requires some unique problem solving.
This mid-level, full-time position is in Falls Church, VA. Please note: the position is fully telework until COVID-19 social distancing restrictions are lifted.
MINIMUM QUALIFICATIONS.
At least 8 years' relevant experience within government consulting and organizing analytic results for further analysis.
Bachelor's Degree in Mathematics, Engineering, Statistics, Computer Science or related discipline.
Master's Degree in Data Science, Machine Learning, or AI,
Ph.D preferred
Must be capable of developing machine learning models based on NLP and/or CV methods
Must have cloud experience
Ability to work onsite in Falls Church, VA.
Ability to obtain and maintain a DoD Secret Clearance.
Legal authorization to work in the U.S.
JOB DUTIES.
Collaborate with business teams to identify use cases for Machine Learning insertion into automated business process workflows
Develop and deploy rapid ML prototypes with describable predictions (e.g. not a black box)
Support integration of real-time predictive models at scale
Prepare comprehensive written reports, presentations, and charts based on research, collection, and analysis of data.
DESIRED SKILLS.
Flexible mindset focused on delivering quality deliverables on tight deadlines.
Excellent problem-solving capability.
Ability to get up to speed quickly on complex issues; desire to work in a fast-paced, rapidly evolving environment.
Capable self-starter with a drive to get all types of work done and high attention to detail.
Excellent ability to communicate across most mediums and settings.
ABOUT APTIVE.
Aptive is a modern federal consulting firm focused on human experience, digital services and business transformation. Our employees receive competitive compensation, along with company-paid health care and short-term disability plans. We also offer a 401K plan with company match, paid time off, flexible savings accounts, commuter benefits and company-sponsored professional education opportunities.

Our work inspires people, fuels change and makes an impact. Join our team to be part of positive change in your community and our nation.

EQUAL OPPORTUNITY EMPLOYER.
Aptive is an equal opportunity employer. We consider all qualified applicants for employment without regard to race, color, national origin, religion, creed, sex, sexual orientation, gender identity, marital status, parental status, veteran status, age, disability or any other protected class.
Veterans, members of the Reserve and National Guard, and transitioning active-duty service members are highly encouraged to apply.
indspn",4.4,"Aptive
4.4","Falls Church, VA",-1,51 to 200 Employees,2012,Company - Private,Consulting,Business Services,$25 to $50 million (USD),-1
"Research Scientist, Computational Biology",$99K - $158K (Glassdoor est.),"Job Description
The Research Scientist I will be responsible to establish data analytics capabilities to manage, process, and analyze a large amount of analytical data to gain insight into the biology of cell therapy products. They will work in a cross-functional team to enable in-process attribute and product understanding to identify opportunities for continuous process improvement. In this role, the ideal candidate will create or select algorithms to process, analyze, visualize, interpret as well as report large amounts of analytical data. They will collaborate cross-functionally to apply statistical tools, artificial intelligence/machine learning, and other data-mining techniques to build models to identify predictive biomarkers of manufacturability, i.e. viability, cell expansion, and achieving dose.
We are seeking a highly motivated Computational Biologist to support ongoing efforts focused on integrating biological datasets to build analytics models that enable the discovery of patterns or trends and inform product manufacturability. The ideal candidate will effectively communicate results derived from statistical machine learning, establish workflows for data visualization in order to enable the continuous monitoring of method performance and evolve the ability to manufacture products while meeting quality standards. The successful candidate will conduct bioinformatics analysis to enhance understanding of signaling pathways that drive T cell differentiation and mechanisms of action of cell therapy products.
The candidate will also be responsible for establishing and documenting the workflow for data analytics platforms from analysis through visualization. The successful candidate will represent Analytical Development in multiple cross-functional teams projects and opportunity to learn about process development and enable next generation of cell therapy development using computational biology approaches.
Job Responsibilities and Duties
Building capabilities to analyze large biological data sets to enhance in-process attribute and product understanding
Developing data analysis, visualization, and predictive analytics tools for data generated from flow cytometry, molecular biology, and protein expression platforms
Perform assessment of new data analytics technologies and business intelligence tools to drive continuous process improvements
Leading cross-functional efforts to compile specialized reports and data visualizations using standard business reporting and scientific data analysis applications
Author, review, and edit technical documents, i.e. SOPs and/or reports, describing data analytics workflow
Basic Qualifications:
Ph.D. in Computational Biology or related discipline with 0+ years of industry experience
Masters Degree in Computational Biology or related discipline with 6+ years of industry experience
Bachelors Degree in Computational Biology or related discipline with 8+ years of industry experience
Preferred Qualifications:
Advanced knowledge of cell biology, cancer biology, and/or immunology
Experience with designing and developing data models and databases (SQL, mongoDB)
Experience with visualization tools (Tableau, Spotfire, RShiny)
Experience with analyzing and integrating the sequencing dataset (scRNAseq, CITEseq, TCRseq)
Fluent in programming languages (R/Python) or any relevant modern programming languages
Solid understanding of statistics and AI/ML algorithms and associated applications.
Familiar with cloud environments (AWS, s3 buckets) and knowledge of data science infrastructure (data-bricks, H2O.ai)
Understanding of GxP and GMP
Experience with LabKey, data management system
Experience with lab instrument automation
Experience with building IT infrastructure
Effective verbal and written communication skills
Ability to think critically and demonstrate troubleshooting and problem-solving skills
Ability to work in a fast-paced small company environment with minimal direction
#IND123",3.6,"Kite Pharma
3.6","Santa Monica, CA",-1,1001 to 5000 Employees,2008,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10 to $25 million (USD),-1
Senior Data Scientist,$99K - $158K (Glassdoor est.),"About Fracta
Fracta.ai usesmachine learning and big data to optimize infrastructure investments – starting with water pipe network replacement solutions for water utilities worldwide. Our mission is to help utilities manage and conserve resources through the creation of intelligent infrastructure. Fracta gives utility companies the most comprehensive view of conditions, allowing them to optimize replacement decisions and reduce costs by as much as 40 percent.
About the Role
We are looking for a results-driven, motivated Senior Data Scientist who is passionate about creating world-class machine learning models and predictions. This is a very senior role which will allow you to test innovative techniques and models to improve the accuracy of our core algorithm and create a huge impact at the company. It is a role which requires creativity and a keen ability to solve difficult data problems. We take personal development seriously, so all members of the data science team receive mentoring and opportunities to grow in their careers.
Required Qualifications
Strong knowledge and experience in implementing machine learning in real-world applications – minimum 3 years of experience. Experience with structured data.
Knowledge and ability to deal with challenging data problems such as data mining, feature definition and ML-based data cleaning.
Demonstrated ability to work with highly imbalanced data sets
Experience working with data in a cloud-based application (AWS, GCP, Azure)
Knowledge of Python required, PyTorch and SQL (BigQuery) preferred
Team player: able to solve problems as part of a team and coach junior engineers
Desire and ability to work in a fast-paced, results-oriented start-up
Position is based downtown Redwood City, CA, right by the Caltrain station.
Job Type: Full-time
Pay: From $100,000.00 per year
COVID-19 considerations:
We have COVID-19 procedures in place for the office.",-1,Fracta,"Redwood City, CA",-1,-1,-1,-1,-1,-1,-1,-1
FCC Data Scientist,$99K - $158K (Glassdoor est.),"Summary: The FCC Analytics group is responsible for the development and management of the BSA/AML, Fraud and Quality Control analytics functions. The group tunes the financial crimes models dedicated to the detection of suspicious activity and fraudulent transactions as well as those designed to risk rate customers and screen against OFAC designated lists. Additionally, the group manages application related implementations, maintenance and enhancements and the development of reporting and visual analytics used for investigations, KPI tracking, quarterly reporting and annual risk assessments.

The primary purpose of this position is to assist with the management of the Fraud and BSA/AML models related to transaction monitoring, customer risk rating, OFAC fuzzy logic filtering, and transactional fraud mitigation strategies. The individual that fulfills this position must understand the general dynamics of model risk management as set forth by OCC guidelines. Furthermore, the candidate must also have experience with SQL, quantitative stat based analytics (such as standard deviation, percentile distributions, k-means, clustering, etc.), model forecasting and reporting analytics (including visual and flowchart modeling) amongst other skill sets around management of information systems. Requires basic commercial awareness.
ESSENTIAL DUTIES AND RESPONSIBILITIES: While other duties and special projects may be assigned, the primary duties and responsibilities include the following:
Conduct assessments of models and provide reports detailing the current state of data feeds, rule output at current settings, and alert outputs at alternative settings.
Utilize Oracle SQL to the extent of simulating model output.
Identify potential logic deficiencies in model outputs through cross validation of external analyses
Assist with the identification, evaluation, and development of controls to mitigate FCC risk and operational impacts.
Research, develop, prototype and test new models and their related inputs.
Assist with annual FCC model tuning and optimization efforts in line with regulatory expectations to meet false-positive and detection rate criteria; performs quantitative analysis on the alert output of each tuning cycle (able to prepare reports detailing forecast results).
Perform model management reviews for the ongoing assessment of model suitability against emerging risk.
Assist with data integrity and validation testing on FCC projects including software implementations, operational enhancements related to efficiency gains, and other special projects as needed including the coordination of software updates in collaboration with the Bank's IT Department and or Project Management Office.
Support manager with resolving of open issues and/or defects involving applications used by the FCC Department including the identification of issues, tracking, escalation, testing, and resolution.
Maintain business definitions in the form of a data dictionary for all department managed models.
Prepare reports in a manner that is clear and comprehensible to FCC supervisors/managers, internal auditors and regulatory examiners.
Communicate production issues with key stakeholders such as business lines, FCC management team, and the IT Department.
Create documentation and provide technical training to business users as needed (this includes training post model tuning deployments and on new enhancements).
If necessary, effectively communicate with the business lines in order to obtain the necessary information and documentation to complete model improvements.
Handle a large workload with the ability to complete the tasks correctly and efficiently within the designated timeframes exercising discretion in setting priorities.
Communicate effectively to different audiences, including both business and technical parties.
Possess a general understanding of banking with respect to BSA/AML and Fraud risks.
Perform any other assignments as directed by manager.
EDUCATION and/or EXPERIENCE
Bachelor's degree in Computer Science, Management Information Systems or related field.
At least 3 years working with data modeling, software implementation, enhanced reporting analytics or related experience preferably with a financial institution.
Advanced experience with data mining/analytical tools such as R and Python
Strong knowledge of Structured Query Language (SQL), Oracle programming language, data mining techniques, and Business Intelligence Tools
Strong database skills, including working with advanced data sets, pivot tables, advanced database and statistical functions and methods
Experience visualizing data using tools such as Tableau
Experience with developing and implementing Fraud and BSA/AML risk strategies in decision engines, detection tools and onboarding platforms.",2.9,"BankUnited
2.9","Miami Lakes, FL",-1,1001 to 5000 Employees,2009,Company - Public,Banks & Credit Unions,Finance,$10+ billion (USD),-1
Purification Scientist,$99K - $158K (Glassdoor est.),"New England Biolabs (NEB) is seeking highly motivated and detail-oriented individual for a downstream protein manufacturing role as a Purification Scientist in a laboratory equipped with cutting edge technologies. The successful candidate will execute downstream processes and perform in-process analytics. This role will actively be involved with tech transfer activities to our GMP facility, including process development. This role requires working in a fast-paced and collaborative environment to provide the highest quality products to the scientific community.
Primary Responsibilities:
Program, operate, and troubleshoot purification equipment at small/pilot scale using the GE AKTA platform including AKTA PURE, Pilot, Process, as well as Tangential Flow Filtration and Inline Buffer Dilution Skids
Represent commercial manufacturing needs in close working interaction with internal process development and management
Assist in defining robust downstream processes to facilitate transfer to our GMP facility, including resin screening, column capacity studies, and new elution schemes
Write SOPs and documents to help support transfer to our GMP facility
Perform and analyze numerous in process enzymatic and DNA assays required during the purification process to develop pooling protocols
Apply creative problem solving to downstream processes to perform tasks more efficiently and effectively
Maintain accurate records. Effectively organize, interpret, and present data to colleagues, cross functional teams, and senior leadership
Advocate for new biopharma and information technologies to help advance downstream manufacturing
Required Qualifications and Experience:
Bachelor’s or advanced degree in Biology, Biochemistry, or a related field
Minimum 3 years of industry experience
Extensive knowledge of chromatography techniques including IEX, affinity, HIC, SEC and MMC
Hands on experience with downstream processing equipment and protocols including sanitization, general operation, troubleshooting, and associated manufacturing tasks
Experience operating protein purification equipment and knowledge of Unicorn software
Familiarity with techniques such as SDS PAGE, restriction digestion, capillary electrophoresis-based RNA, DNA and protein assays
Demonstrate precise bench skills to produce consistent and dependable data
Exceptional attention to detail and passion for problem solving with a developed sense of ownership and responsibility
Working knowledge of microbial fermentation and upstream processing a plus
EEO Statement
New England Biolabs is committed to fostering a diverse and inclusive community; as an EEO/AA employer, New England Biolabs considers applicants for employment without regard to, and does not discriminate on the basis of, race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status or disability. More in-depth details of EEO are available here.
New England Biolabs is a participating employer in the Employment Verification ( E-Verify ) program.
OFCCP’s pay transparency policy can be found on OFCCP’s website at www.dol.gov/ofccp
If you need an accommodation for any part of the employment process because of a medical condition or disability, please send an email to hr@neb.com or call 978-927-5054 to let us know the nature of your request.",4.9,"New England Biolabs, Inc.
4.9","Ipswich, MA",-1,201 to 500 Employees,1974,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1
"Sr Scientist, Upstream",$99K - $158K (Glassdoor est.),"NexImmune is an early stage biotech company developing unique products that harness the power of the natural immune system to treat cancer and other life-threatening diseases. We are seeking highly skilled and motivated individuals to join an entrepreneurial team of experienced professionals dedicated to science, patients and addressing diseases with significant unmet need.
POSITION SUMMARY
NexImmune is looking for experienced and highly motivated candidates with an entrepreneurial spirit to join our Protein Process Development group. We are looking for candidates with an undergraduate or graduate degree in the life sciences or biochemical engineering with over 5 years industry experience.
We are seeking candidates with extensive experience in developing, optimizing, and scaling up upstream processes from bench to pilot-scale with preferably some experience working in cGxP regulated environment and a basic understanding of ICH and FDA regulatory/quality guidelines. Qualified candidates must demonstrate a broad and current technical/scientific knowledge of process development, optimization, and scale-up methodologies to develop robust and scalable production processes.
Upstream candidates will have hands-on experience working with different mammalian expression systems, shaker and spinner flask cultures, conventional and single-use bioreactor systems, and have thorough understanding of cell culture laboratory techniques and practices. Candidates must have experience conducting media screening and feed strategy optimization studies as well as studies to identify and determine appropriate ranges of (critical) process parameters to optimize cell growth and productivity.
Candidates for the Senior Scientist position will demonstrate additional knowledge of, and preferably have experience with, statistical tools, DOE (and software) and QbD principles as well as SDM development/qualification, process range finding, and robustness/characterization studies.
Candidates must have excellent technical writing skills and experience in preparing SOPs, protocols, technical reports, and/or batch records. Additional IND CMC and regulatory filing experience is a plus. Candidates must have good communication and interpersonal skills. Candidates must have a demonstrated ability to think critically, analyze and interpret data independently, design and execute appropriately controlled experiments, and maintain up-to-date laboratory notebooks.
Qualifications
o B.A/B.S., M.S. or PhD. in life sciences or biochemical engineering with a minimum of 5-10 years biotech industry experience in process development, optimization, and scale-up.
o Basic knowledge of GxP policies and procedures and regulatory/quality requirements in the biotech industry
o Additional experience in IND/regulatory filings, tech transfer and/or pilot- or large-scale cGMP manufacturing a plus.
o Senior level candidates should have knowledge of statistical tools and DoE (incl software), QbD principles, and with scale-down model development/qualification, process range, linkage, and/or process characterization studies.
o Proficient with the use of MS Office software (Word, Excel, Power Point) and process equipment application software.
o Excellent problem solving, organizational, and time management skills.
o Must demonstrate initiative and be self-motivated.
o Must have excellent communication and writing skills.
o Positive attitude and interpersonal skills and the ability to work in team-oriented environment are essential.
o Ability to plan, design, execute, and record experiments using good scientific principles and with keen attention to detail.
o Candidates must have a demonstrated ability to think critically and analyze and interpret data independently.
o Can coordinate and prioritize parallel tasks.
o Must be flexible and able to adapt to changing demands.
Job Type: Full-time
Benefits:
401(k)
401(k) matching
Dental insurance
Disability insurance
Employee assistance program
Flexible schedule
Flexible spending account
Health insurance
Life insurance
Paid time off
Parental leave
Referral program
Tuition reimbursement
Vision insurance
Schedule:
8 hour shift
Day shift
Supplemental Pay:
Bonus pay
Signing bonus
Experience:
Biotechnology: 5 years (Required)
Work authorization:
United States (Required)
Work Location:
One location
Company's website:
www.neximmune.com
Benefit Conditions:
Only full-time employees eligible
Work Remotely:
No",-1,NexImmune,"Gaithersburg, MD",-1,-1,-1,-1,-1,-1,-1,-1
Raman Spectroscopy Scientists,$99K - $158K (Glassdoor est.),"A San Jose medical device company is seeking scientists specialized in experimental and development-oriented optical spectroscopy. Candidates involved in tissue spectroscopy or tissue imaging are most desired for R & D efforts on novel medical devices. The successful candidate will have the opportunity to be deeply involved in the science, development, and engineering of a new generation of medical devices based on modern spectroscopic technologies. Full-time positions are available.
Responsibilities
Responsibilities include: experimental designs and executions, data extractions and analysis, modify and optimize experiments, conceive and develop new experiments, provide guidance on new medical instrumentation design, investigate tissue spectroscopy, assist on providing design guidance in developing of novel photonics-spectroscopy based medical devices
Requirements (including all or most of the following)
Familiar with various spectroscopic techniques (at least one of the following): Raman spectroscopy, fluorescence spectroscopy; ultrafast spectroscopy, coherent spectroscopy,
Hands-on experience in spectroscopic analysis using various Raman spectroscopic techniques
Familiar with tissue optics, tissue optical scattering, diffusely scattering media, turbid media, transmission Raman spectroscopy and epi Raman spectroscopy
Familiar with one or more of the followings: lasers, high resolution spectrograph, different types of photo detectors, basic optical design trade-offs. Understanding of the principles of good spectroscopic instrumentation, and sampling methodologies
Experience with photonics tools, light sources, detector and detection schemes (any or some): CCDs; EMCCDs and cooled cameras
Working or practical experience in optical design, optical alignment, free-space optics, grating based spectrometry setup, spectrographs, various spectrometer functionalities and basic constructions
Strong capability within and adaptability to a fast-moving company with a dynamic work environment
Education and Experience: M.S. or Ph.D. in Laser Spectroscopy, Photonics, Analytical Chemistry, Applied Physics, or EE; 1-5 years working experience desired
Company is located at the San Jose Area.
Job Type: Full-time
Pay: $80,000.00 - $160,000.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Health insurance
Paid time off
Vision insurance
Schedule:
Monday to Friday
Work Location:
One location
Work Remotely:
No",-1,BayArea101,"San Jose, CA",-1,-1,-1,-1,-1,-1,-1,-1
Data Analyst I,$99K - $158K (Glassdoor est.),"Overview


Western National is seeking an experienced Data Analyst to join our growing organization. This position will work closely with multiple business units throughout the organization helping to support data extraction and analytics needs.

The ideal candidate will have 3+ years of Data Analysis experience preferably within the insurance industry. This role will use SQL to extract data but will also have a strong focus on analyzing data to help come up with business solutions. While combining technical and business aspects, the person in this role will frequently communicate and explain data analysis to non-technical users.

Responsibilities
Work on analytical projects to help management understand detailed information about their business portfolio.
Produce meaningful reports and ad-hoc analysis relating to premiums, losses, business processes, agency performance and other areas that support the business.
Provide trend analysis and ad hoc data related activities; effectively communicate insights to non-technical users in a clear and concise manner.
Conduct pre/post-rate change impact analysis to ensure our products maintain a competitive position.
Collaborate across several business units including Underwriting, Marketing, Product Management, and Claims to identify opportunities to improve company or operational performance.
Understand, extract, validate, correct, and define data from multiple internal and external sources.
Collaborate with IT Data Management by prioritizing and defining requirements for future development and testing data elements.
Update and enhance existing reports and create or modify dashboards that help end users better understand their book of business.
Join data elements from various source systems; build data sets that allow for various types of aggregation and analysis.
Develop and refine sustainable processes that help improve efficiency.
Qualifications
3+ years of Data Analysis experience including previous experience in data mining, analysis and reporting is required.
Ability to accurately identify, document and recommend solutions to business problems.
Ability to communicate clearly and effectively both verbally and in writing to technical and non-technical audiences.
Advanced MS Office skills with strong focus on Excel is required.
Experience creating and presenting ad hoc date related analysis.
Experience with SQL and ability to create queries to extract data.
Experience extracting data from an enterprise data warehouse and core operating systems.
Experience with different data visualization tools with a strong focus on Tableau.
Experience in Property & Casualty insurance is strongly preferred.
Bachelor’s degree preferred; experience in lieu of degree acceptable.
Western National Insurance is a growing, A+ rated (A.M. Best) group of property-and-casualty insurance companies serving individuals, families, and businesses in 20 states across the Midwestern and Western U.S. plus Alaska. Currently ranked as the 57th largest private company by revenue in Minnesota (Minneapolis-St. Paul Business Journal), Western National has consistently earned accolades as an employer of choice, including as a Star Tribune Top Workplace (2011 – 2016), and previously as a recipient of the Minnesota Business Ethics Award, as a Minnesota Business Magazine Top 100 Workplace, as a Principal Financial “10 Best” Company, and as a finalist for the Alfred P. Sloan “When Work Works” Award.

Western National is known as “The Relationship Company®”, and caring for employees is a key part of that relationship commitment. Western National offers competitive pay, advancement opportunities, a generous benefits package, a robust wellbeing program, and a healthy work/life balance (including three weeks of paid time off, nine paid holidays, and eight hours of paid volunteer time as a starting point for new employees). These attributes are just some of the reasons why nearly half of our employees choose to stay on the Western National team for 10 years or more.

Our benefits package includes:
401(k) company match
Medical insurance – We offer affordable (thanks to a strong employer subsidy), above-average coverage and the choice of either a traditional Preferred Provider Organization (PPO) option OR a High-Deductible Health Plan (HDHP) option
Western Wellbeing program – Including on-site massage, yoga classes, salad and healthy snack days, sit/stand workstations, nutrition seminars, and more
100% company-paid tuition reimbursement for approved, job-relevant coursework
Discounts on automobile and homeowner's insurance
Other standard employee benefits – Including dental insurance, vision benefits, life insurance, disability insurance, and more
We could continue to list the things that we think make Western National a great place to work, but why not hear it instead from actual current and former employees? Here are some quotes that Western National employees have posted to the Glassdoor public review site:
“Excellent company which prioritizes customer service and community service.”
“Just a great place to come to work and stay for a career. I love the personal touch from [the] executive suite on down. [The] CEO is on a first-name basis with everyone.”
“Above-average benefits, especially on the health insurance front.”
“I have felt welcomed here and I feel like the Senior Management cares.”
(For more reviews from current and former Western National employees, you can visit the company’s Glassdoor page here: http://bit.ly/2qXtl4A .)

***Western National is an equal opportunity employer. All qualified applicants will receive consideration for employment.***",3.9,"Western National Insurance
3.9","Edina, MN",-1,501 to 1000 Employees,1901,Company - Private,Insurance Carriers,Insurance,$500 million to $1 billion (USD),-1
"AVP, Data Science for Personal Lines",$99K - $158K (Glassdoor est.),"AVP, Data Science for Personal Lines
Worcester, MA, USA Req #13437
Thursday, November 5, 2020
Our Personal Lines (PL) Actuarial and Data Science department is seeking an AVP, Data Science to join our growing team in our corporate home office located in Worcester, MA.

Position summary:
Leads a data science team that leverages data and advanced statistical methods to provide insight into operational performance that is applied to implementing solutions and improving business results. Builds consultative relationships with business partners to ensure a shared understanding of initiative goals and effective application and monitoring of solutions. Directs and oversees the prioritization of projects and is well-versed in current and emerging analytical approaches and methodologies. Presents insight and recommendations to senior leadership for decision making and strategic planning. Leads data strategy to develop and maintain internal/external information sources for business analysis on behalf of personal lines. Works to recruit and retain skilled staff and state of the art analytical capabilities, while managing and developing staff in the daily performance of their jobs. Ensures that project/department milestones/goals are met and adhering to approved budgets.

This is a full-time, exempt role.

Responsibilities/Essential Functions:
Supports personal lines high-level strategy formulation and oversees prioritized strategic and tactical projects to achieve targeted business results. Provides leadership in developing data science projects and executing and implementing their findings. Partners with PL business functions to identify and scope specific tactical initiatives and solve business problems and help them measure performance against targeted results. Lead the PL Data Science Steering Committee and provide regular updates to senior management on team performance and progress against the annual research agenda.
Supports personal lines high-level strategy formulation and oversees prioritized strategic and tactical data science projects to achieve targeted business results.
Partners with PL business functions to identify specific data science tactical initiatives and solve business problems and help them execute and measure performance against targeted results.
Establish strategic vision and implement stewardship and governance practices that ensure data integrity and accuracy and explore opportunities to enhance and/or add to both internal and external data available for analysis.
Lead the PL Data Science Steering Committee and provide regular updates to senior management on team performance and progress against the annual research agenda.

Additional Responsibilities:
Work with Personal Lines leadership and the data science steering committee in strategy formulation and data science research agenda
Work with business partners to scope and develop balance of data science project portfolio.
Research, analyze and define requirements from key stakeholders on new analytics models, platforms and technologies to significantly improve operational efficiency and effectiveness, growth, profitability and agent/ customer experience.
Partner with business functions to execute on each project and deliver targeted business results.
Lead the development and implementation of programs and processes that drive strong internal and external data to support advanced analytics and effective monitoring and analysis of results across personal lines.
Advocates for data as an asset and strategic competitive advantage.
Position Requirements:
Bachelor’s degree required. Advanced level degree or equivalent experience strongly desired.
Over five years of practical data science and advanced analytics experience.
Project Management certification desired.
Insurance industry data analytics experience.
Prior people management experience required; strong people management skills, effective at coaching and motivating staff. Serves as a role model in building effective relationships.
Hires and develops talented and intellectually curious people to foster continuing innovation and deliver exceptional data solutions.
Creates an environment that encourages and values the opinions of others and promotes sharing of information and ideas.
Collaborative problem solver, who takes ownership of issues, to deliver successful business solutions.
Anticipates needs of the customer and takes a proactive approach to ensure they are met.
Ability to negotiate skillfully in difficult situations with both internal and external groups.
Demonstrated project management skills for effectively running projects with high degree of ambiguity.
Effectively and creatively utilizes all resources (systems, people, etc.) to manage daily operations.
Strong verbal and written communication skills.
EEO statement:
“The Hanover values diversity in the workplace and among our customers. The company provides equal opportunity for employment and promotion to all qualified employees and applicants on the basis of experience, training, education, and ability to do the available work without regard to race, religion, color, age, sex/gender, sexual orientation, national origin, gender identity, disability, marital status, veteran status, genetic information, ancestry or any other status protected by law.

Furthermore, The Hanover Insurance Group is committed to providing an equal opportunity workplace that is free of discrimination and harassment based on national origin, race, color, religion, gender, ancestry, age, sexual orientation, gender identity, disability, marital status, veteran status, genetic information or any other status protected by law.”

As an equal opportunity employer, Hanover does not discriminate against qualified individuals with disabilities. If you require a reasonable accommodation, as a candidate for employment, please inform The Hanover Talent Acquisition office.
Privacy Policy:
To view our privacy policy and online privacy statement, click here.

Applicants who are California residents: To see the types of information we may collect from applicants and employees and how we use it, please click here.
Other details
Job Function
Actuarial
Pay Type
Salary
Required Education
Bachelor’s Degree",4.1,"The Hanover Insurance Group
4.1","Worcester, MA",-1,5001 to 10000 Employees,1852,Company - Public,Insurance Carriers,Insurance,$5 to $10 billion (USD),-1
